,total points,total words,total reviews + art (unless you are qva)
Delirious Absol,10,2585,4
K_S,20,19436,12
Zion of Arcadia,53,22008,24
OldSchoolJohto,55,24714,24
qva,73,31705,27
Flyg0n,78,26447,26
canisaries,25,8273,12
Navarchu,92,22506,29
Starlight Aurate,13,5198,6
cynsh,15,4060,6
Equitia,18,7071,10
HelloYellow17,71,16207,25
Flaze,102,34756,37
windskull,31,5503,10
Negrek,11,7049,5
Cresselia92,7,2617,4
Shiny Phantump,15,4901,6
love,16,7464,8
Dragonfree,33,12879,15
Namohysip,31,6760,8
Bench,72,15796,27
Umbramatic,30,3977,15
LukerGamerz,20,4860,5
Pen,151,80522,60
Chibi Pika,15,2906,5
Rainfall,17,7865,10
unrepentantAuthor,20,7486,5
Shulk,2,276,1
Sparkling Espeon,41,9126,6
Persephone,40,8429,13
Ambyssin,32,7264,7
Tanuki,2,767,1
Nubushi,33,17993,15
Phoenixsong,13,7472,4
SinderellaWrites,10,5672,5
Ribbon-Dove,15,3720,4
penda,10,2312,3
kintsugi,151,60519,50
